"","x"
"188","Happy to win the best player of the tournament. Thanks boys <ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BD><ed><U+00B4><U+009D>"
"189","Simmmm. Happy to win another <ed><U+00A0><U+00BC><ed><U+00BF><U+0086> trophy. Well done team. Hala Madrid"
"190","Thank you Jean-Claude Biver and TAG Heuer for your kind words and the great presents ! #dontcrackunderpressure"
"191","Dwyane Wade, Happy Holidays. This one is just for you <U+26C4><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+0086>#raiseit www.nowraiseit.com"
"192","At Pestana CR7 we love to make Dreams come true !"
"193","Final<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>let's go boys"
"194","Behind the scenes of the campaign shoot for my new fragrance The Private Edition! Want to see unreleased images from the shoot? 
Enter password Neroli to enter http://bit.ly/2gcMBTr"
"195","My golden ball it's available in my museum in Madeira<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><U+26BD><U+FE0F>"
"196","I am now in Japan for this important title and brought #Sixpad with me, it always helps me a lot to perform my best. 

Check to get yours:
<U+3010>JAPAN<U+3011>http://www.sixpad.jp/
<U+3010>UK<U+3011>http://www.sixpad.uk/en/
<U+3010>KOREA<U+3011>http://www.sixpad.kr/
<U+3010>HONG KONG<U+3011>http://www.sixpad.hk/
<U+3010>CHINA<U+3011>http://www.sixpad.cn/
<U+3010>SINGAPORE<U+3011>http://sixpad.com.sg/en/

See you soon in the stadium! 
#sixpad #bodyrevolution #mtgsixpad #fitnesseverywhere"
"197","<U+261D><U+FE0F><U+FE0F>CR7 <U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F>"
"198","So happy and glad to win. Thanks Real Madrid and Portugal National team.amazing year. Simmmmmmm<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>"
"199","Don't miss the last chance to order my CR7 blankets before Christmas! Go to cr7blankets.com. Use promo code CRIS to save 25%"
"200","<ed><U+00A0><U+00BC><ed><U+00BF><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00BF><U+008A><U+200D><U+2640><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"201","NEW HIGHSCORE! Can you beat me? Show me your skills and post your highscore in a comment."
"202","Make the world better with peace and love<U+2764><U+FE0F><U+FE0F><U+2764><U+FE0F><U+FE0F><U+2764><U+FE0F><U+FE0F>"
"203","Creating The Private Edition scent and having fun with my team! See the full video on my online member's club. 
Use this link  http://bit.ly/2gcMBTr & password Basil - limited entry so be quick!!"
"204","Parabéns à Fundación Numen e à Fundación Inocente Inocente pelo magnífico trabalho que fazem no apoio a estas crianças."
"205","Flip on the first try, Dwyane Wade. Don’t start what you can’t finish. <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #raiseit www.nowraiseit.com"
"206","UCL<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"207","I wanted to make sure that every element of The Private Edition fragrance is personal to me. 
Want to know why I chose blue and copper for the bottle? Be a part of my private members club! 
Use password Vanilla at http://bit.ly/2gcMBTr"
"208","<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><U+261D><U+FE0F><U+FE0F>"
"209","<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"210","Feliz por estar mais uma vez entre os melhores do ano da FIFA juntamente com os meus dois treinadores, Zinedine Zidane e Fernando Santos. Obrigado a todos os que votaram em mim, ao Real Madrid e à Seleção Nacional, em especial aos meus companheiros de equipa, sem os quais nada disto seria possível. Estamos juntos e determinados a continuar a vencer. Hala Madrid!"
"211","It’s almost time! <U+23F0> <U+26BD> See how I spent yesterday preparing for the fastest match on <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> .
#StrikeSeries <ed><U+00A0><U+00BD><ed><U+00B4><U+008E> <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> nike.com/CR7"
"212","Wanna save big on my CR7 blankets this Christmas? 
Shop www.cr7blankets.com to save 25% with promo code CHRISTMAS. Merry Christmas!"
"213","To celebrate the launch of my new fragrance, I have created my own online members club! 
The first to go to http://bit.ly/2gcMBTr and use password Amber to see exclusive footage of us deciding the name!"
"214","Very excited to introduce my brand new fragrance tomorrow! 
To celebrate, I am launching an online private members club. Stay tuned if you want to be part of it!"
"215","Chocado com a tragédia que aconteceu ao @ChapecoenseReal. Solidário com as famílias e amigos de todas as vítimas. Um abraço para o clube e para todo o futebol brasileiro."
"216","Equipa vencedora <ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"217","<U+2705> Day 1 complete. Watch today’s story as I train fast for El Clásico <U+26A1><U+26A1><U+26A1> #StrikeSeries <ed><U+00A0><U+00BD><ed><U+00B4><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+0089> Nike.com/CR7"
"218","<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"219","3 points <ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"220","<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"221","Happy morning <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"222","Open your eyes Dwyane Wade - this is how I wake up <ed><U+00A0><U+00BD><ed><U+00B9><U+0088> #raiseit

www.nowraiseit.com"
"223","<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"224","Muito emocionado e comovido pela homenagem de hoje. Obrigado Sporting Clube de Portugal por este momento bonito na minha vida<U+2764><U+FE0F><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"225","<ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9>"
"226","Honoured to debut my new boots tonight, back where it all started. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C> CR7 Discovery <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> Nike.com/CR7"
"227","Inspired by the match that changed my career. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C> Excited to wear my new boots tomorrow. Nike.com/CR7 #Mercurial"
"228","A men’s daily essentials #CLEARMEN #Mercurial #Ad"
"229","Stretching boy<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"230","<U+26BD><U+FE0F>"
"231","Top<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>well done team<U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F>"
"232","<ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>"
"233","<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B4><U+009D>"
"234","Always working. <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> Fresh Trainers. Gear up for the gym on Nike.com/CR7"
"235","Fun time<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"236","Unleashed my inner lion while filming with PokerStars <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> #BeatTheClock"
"237","Me and my mom, together for the first time in a TV commercial. Merry Christmas by MEO

Eu e a minha mãe pela primeira vez juntos num anúncio!! Feliz MEO Natal :)"
"238","Simmmmm<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>"
"239","<ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9>"
"240","<ed><U+00A0><U+00BC><ed><U+00B6><U+0095><ed><U+00A0><U+00BD><ed><U+00B4><U+009D> Love my new Collection <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> Nike.com/CR7"
"241","Target practice <ed><U+00A0><U+00BC><ed><U+00BE><U+00AF> #Mercurial
CR7 Chapter 3, lace up at Nike.com/CR7"
"242","Glad to make your wishes come true!<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"243","No substitute for hard work <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> #StrikeSeries CR7 Chapter 3 Collection at Nike.com/CR7"
"244","NIKE MAN<ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"245","<ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9>"
"246","Just found the next generation of Fast in Lisbon! #StrikeSeries <ed><U+00A0><U+00BD><ed><U+00B4><U+008E><U+26BD><ed><U+00A0><U+00BC><ed><U+00BF><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+00A8>"
"247","Back in Lisbon leading a Nike Football masterclass with the future of Fast. Watch out for these guys! <ed><U+00A0><U+00BD><ed><U+00B1><U+0080><U+27A1><ed><U+00A0><U+00BC><ed><U+00BF><U+0086> #Mercurial"
"248","The Man<ed><U+00A0><U+00BD><ed><U+00B4><U+009D>"
"249","My sports cars just got jealous <ed><U+00A0><U+00BC><ed><U+00BF><U+008E><ed><U+00A0><U+00BD><ed><U+00B2><U+00A5> #Mercurial
New wheels at Nike.com/CR7"
"250","New wheels, same results. <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B1><U+008C> #Mercurial
New boots <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> Nike.com/CR7"
"251","Es un honor recibir nuevamente el trofeo Alfredo di Stefano. Gracias a todos! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B4><U+009D>"
"252","Crazy day launching my new CR7 Chapter 3 #Mercurial.
Still laughing. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>,<ed><U+00A0><U+00BD><ed><U+00B4><U+009D> You totally killed me boys.
Respect. This isn’t the end Ricardo Quaresma"
"253","Momento súper feliz.
Quiero agradecer 
AL CLUB
A LA AFICIÓN;
A MIS COMPAÑEROS; 
A MI EQUIPO DE TRABAJO
Y POR ULTIMO, PERO IGUAL DE IMPORTANTE, A MI FAMILIA que siempre han estado a mi lado.
 
HALA MADRID!! #cristiano2021"
"254",NA
"255",NA
"256","<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Love my new #Mercurial boots.
<ed><U+00A0><U+00BD><ed><U+00B4><U+008E>CR7 Chapter3: Discovery <ed><U+00A0><U+00BD><ed><U+00B4><U+008D>
<ed><U+00A0><U+00BD><ed><U+00B1><U+0080><ed><U+00A0><U+00BD><ed><U+00B1><U+0089><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> Nike.com/CR7"
"257","Just came back from the tailor and my suit fits perfectly! Did you know that as a SACOOR BROTHERS client you are entitled to their free in-house tailoring service? Their attention to personalized detail is one reason why I am a huge fan!"
"258","G morning <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"259","<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"260","Check out my new CR7Footwear film #behind the Scenes FW16 collection. I hope you enjoy it. www.cr7footwear.com"
"261","Keep your head up!!!"
"262","UCL <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"263","Want to spend the holidays with me? Visit CR7blankets.com and see my new CR7 Christmas blankets! Super soft and plush, save 15% today with promo code CR7."
"264","Let me introduce you my new charming CR7Footwear FW16 collection. I hope you really enjoy it as much as I do. Check it at www.cr7footwear.com"
"265","<ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"266","Good night <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>"
"267","Happy Halloween day<ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>"
"268","Great win and very important 3 points. Well done boys !!<U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B4><U+009D>"
"269","To stay fresh throughout a match, I use CLEAR #ad"
"270","<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"271","Great dinner last night,discussing plans for the present and future <ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BD><ed><U+00B4><U+009D><ed><U+00A0><U+00BD><ed><U+00B4><U+009D>"
"272","<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> Extra effort.
<U+2705> Extra reward.
<ed><U+00A0><U+00BC><ed><U+00BF><U+0086> #StrikeSeries

Speed up with Nike Football's Modern uniform of fast:
nike.com/football"
"273","<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF> Focus. #StrikeSeries
nike.com/football"
"274","Smashed training today.<ed><U+00A0><U+00BD><ed><U+00B1><U+008C> #StrikeSeries
nike.com/football"
"275","Bom dia <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"276","<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"277","<ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"278","Help me kick breast cancer. Visit CR7blankets.com save 15% with promo code Pink7 and Elite Team will donate to Breast Cancer Research with every blanket you buy."
"279","Bom dia"
"280","<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+009D><ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"281","<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>"
"282","Good work. Feeling good<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"283","<U+26BD><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"284","I’m so excited the Z11 has finally come to Spain! 
My friends over at nubia SmartphoneSpain are giving away an amazing new Z11 to celebrate. 
You can enter for a chance to win here: 
http://ow.ly/BOAA3053ERz  
#DescubriendoNubia
#DreamWithoutBoundaries  #NubiaCR7 #NubiaZ11"
"285","Thanks<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"286","Gracias/Grazie to the readers of Marca and Gazzetta dello Sport for this award. Wouldn't have been possible without my team mates. Thank you all!"
"287","Couldn't resist a quick game while filming something exciting for PokerStars... <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008E>#raiseit"
"288","Happy to share with you my exclusive fashion video and interview for @DSECTIONMAGAZINE. See the full video at www.dsection.media"
"289","Bom dia"
"290","<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>"
"291","Two games 6 points<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> well done team <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"292","Morning walk <ed><U+00A0><U+00BD><ed><U+00BA><U+00B6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>"
"293","Ready for tomorrow <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9>"
"294","It´s my turn to support my “team”! Help us make Madeira win World´s Leading Destination 2016. Vote here http://bit.ly/29Ds2x2

#madeiraislands #madeiraisland #exploremadeira#madeiraallyear #travelawards #discovermadeira #vote #world #CR7 Visit Madeira"
"295","<ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9>"
"296","<ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9>"
"297","Happy to score my first poker for Portugal
<U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F><U+26BD><U+FE0F><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9>"
"298","Congratulations Hanna, your photo was pretty cool!
Do you want to have the photo of the month? Download CR7Selfie app, be creative and you could be the selected one.
For more info go to CR7Selfie Facebook tab or  www.cr7selfie.com
Now with new features"
"299","<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+FE0F><ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9>"
"300","Nice meeting with my partner Dionisio @pestanacr7 #pestanacr7lisbon"
